model,item,llm_judge_score,response_length,human_score
gpt-oss-20b,item_143,4,155,
gpt-oss-20b,item_144,2,159,
gpt-oss-20b,item_145,4,97,4.0
gpt-oss-20b,item_146,5,153,
gpt-oss-20b,item_147,3,232,3.0
gpt-oss-20b,item_148,3,171,
gpt-oss-20b,item_149,3,128,
gpt-oss-20b,item_150,3,115,
gpt-oss-20b,item_151,4,131,
gpt-oss-20b,item_152,3,168,
gpt-oss-20b,item_153,2,142,
gpt-oss-20b,item_154,3,162,
gpt-oss-20b,item_155,3,110,
gpt-oss-20b,item_156,3,186,
gpt-oss-20b,item_157,4,154,
gpt-oss-20b,item_158,2,193,
gpt-oss-20b,item_159,2,166,
gpt-oss-20b,item_160,4,162,3.0
gpt-oss-20b,item_161,3,161,
gpt-oss-20b,item_162,3,126,
gpt-oss-20b,item_163,3,137,
gpt-oss-20b,item_164,3,147,
gpt-oss-20b,item_165,3,144,
gpt-oss-20b,item_166,3,163,3.0
gpt-oss-20b,item_167,4,119,3.0
gpt-oss-20b,item_168,4,133,
gpt-oss-20b,item_169,3,152,
gpt-oss-20b,item_170,3,196,
gpt-oss-20b,item_171,2,142,
gpt-oss-20b,item_172,4,125,4.0
gpt-oss-20b,item_173,3,139,
gpt-oss-20b,item_174,3,156,3.0
gpt-oss-20b,item_175,3,159,
gpt-oss-20b,item_176,2,161,3.0
gpt-oss-20b,item_177,4,149,3.0
gpt-oss-20b,item_178,4,138,
gpt-oss-20b,item_179,3,139,
gpt-oss-20b,item_180,4,145,
gpt-oss-20b,item_181,1,154,
gpt-oss-20b,item_182,3,148,
gpt-oss-20b,item_183,3,139,
gpt-oss-20b,item_184,3,139,
gpt-oss-20b,item_185,3,160,
gpt-oss-20b,item_186,4,137,
gpt-oss-20b,item_187,3,181,
gpt-oss-20b,item_188,3,165,
gpt-oss-20b,item_189,3,171,
gpt-oss-20b,item_190,4,178,
gpt-oss-20b,item_191,3,152,
gpt-oss-20b,item_192,4,119,
gpt-oss-20b,item_193,3,169,
gpt-oss-20b,item_194,3,131,3.0
gpt-oss-20b,item_195,4,151,
gpt-oss-20b,item_196,3,143,
gpt-oss-20b,item_197,3,120,
gpt-oss-20b,item_198,3,174,
gpt-oss-20b,item_199,3,128,3.0
gpt-oss-20b,item_200,3,159,
yi-34b,item_1,4,297,
yi-34b,item_2,4,286,
yi-34b,item_3,3,301,
yi-34b,item_4,4,359,3.0
yi-34b,item_5,4,315,
yi-34b,item_6,4,316,
yi-34b,item_7,4,306,
yi-34b,item_8,5,330,
yi-34b,item_9,4,299,
yi-34b,item_10,4,299,
yi-34b,item_11,5,292,
yi-34b,item_12,4,370,
yi-34b,item_13,4,270,
yi-34b,item_14,4,331,
yi-34b,item_15,4,266,
yi-34b,item_16,3,287,
yi-34b,item_17,4,263,3.0
yi-34b,item_18,4,293,
yi-34b,item_19,3,310,4.0
yi-34b,item_20,3,290,3.0
yi-34b,item_21,4,291,
yi-34b,item_22,4,299,
yi-34b,item_23,4,289,
yi-34b,item_24,5,314,
yi-34b,item_25,5,321,4.0
yi-34b,item_26,4,287,
yi-34b,item_27,4,302,
yi-34b,item_28,5,243,
yi-34b,item_29,4,287,
yi-34b,item_30,4,261,
yi-34b,item_31,4,277,
yi-34b,item_32,4,320,
yi-34b,item_33,4,345,
yi-34b,item_34,3,288,
yi-34b,item_35,4,272,4.0
yi-34b,item_36,4,321,
yi-34b,item_37,4,261,
yi-34b,item_38,4,329,
yi-34b,item_39,4,290,
yi-34b,item_40,4,298,
yi-34b,item_41,4,299,
yi-34b,item_42,3,245,3.0
yi-34b,item_43,4,301,5.0
yi-34b,item_44,4,323,3.0
yi-34b,item_45,4,320,
yi-34b,item_46,5,320,4.0
yi-34b,item_47,4,286,
yi-34b,item_48,4,308,3.0
yi-34b,item_49,5,345,
yi-34b,item_50,3,320,
yi-34b,item_51,4,298,3.0
yi-34b,item_52,4,282,
yi-34b,item_53,4,358,
yi-34b,item_54,5,321,4.0
yi-34b,item_55,4,281,
yi-34b,item_56,4,286,
yi-34b,item_57,4,291,3.0
yi-34b,item_58,4,317,
yi-34b,item_59,5,285,
yi-34b,item_60,3,327,
yi-34b,item_61,3,275,
yi-34b,item_62,4,261,
yi-34b,item_63,3,293,
yi-34b,item_64,4,307,
yi-34b,item_65,4,298,3.0
yi-34b,item_66,3,288,
yi-34b,item_67,5,341,
yi-34b,item_68,4,287,
yi-34b,item_69,4,327,
yi-34b,item_70,3,322,
yi-34b,item_71,3,275,
yi-34b,item_72,4,326,
yi-34b,item_73,3,323,
yi-34b,item_74,3,299,
yi-34b,item_75,4,303,4.0
yi-34b,item_76,3,285,
yi-34b,item_77,4,299,
yi-34b,item_78,4,297,
yi-34b,item_79,3,272,4.0
yi-34b,item_80,5,303,
yi-34b,item_81,3,309,
yi-34b,item_82,4,345,
yi-34b,item_83,5,321,3.0
yi-34b,item_84,5,298,
yi-34b,item_85,4,275,
yi-34b,item_86,3,318,
yi-34b,item_87,3,308,
yi-34b,item_88,4,317,
yi-34b,item_89,4,281,
yi-34b,item_90,3,269,
yi-34b,item_91,4,296,
yi-34b,item_92,3,314,
yi-34b,item_93,3,297,
yi-34b,item_94,4,293,
yi-34b,item_95,4,311,3.0
yi-34b,item_96,4,318,
yi-34b,item_97,4,235,
yi-34b,item_98,4,333,3.0
yi-34b,item_99,4,270,
yi-34b,item_100,5,282,
yi-34b,item_101,4,300,4.0
yi-34b,item_102,4,254,
yi-34b,item_103,4,351,3.0
yi-34b,item_104,5,301,
yi-34b,item_105,3,331,3.0
yi-34b,item_106,4,310,3.0
yi-34b,item_107,4,317,
yi-34b,item_108,5,310,
yi-34b,item_109,4,314,
yi-34b,item_110,4,329,
yi-34b,item_111,4,311,
yi-34b,item_112,5,310,
yi-34b,item_113,4,309,
yi-34b,item_114,4,325,3.0
yi-34b,item_115,3,301,
yi-34b,item_116,4,288,
yi-34b,item_117,3,295,
yi-34b,item_118,3,285,4.0
yi-34b,item_119,4,319,3.0
yi-34b,item_120,4,276,
yi-34b,item_121,3,277,
yi-34b,item_122,5,297,
yi-34b,item_123,5,302,
yi-34b,item_124,5,299,
yi-34b,item_125,4,301,
yi-34b,item_126,5,336,
yi-34b,item_127,5,280,
yi-34b,item_128,4,254,
yi-34b,item_129,4,342,
yi-34b,item_130,3,304,3.0
yi-34b,item_131,4,274,
yi-34b,item_132,4,300,
yi-34b,item_133,2,329,
yi-34b,item_134,4,295,
yi-34b,item_135,4,307,
yi-34b,item_136,5,299,
yi-34b,item_137,5,305,
yi-34b,item_138,4,335,
yi-34b,item_139,5,345,
yi-34b,item_140,4,294,3.0
yi-34b,item_141,4,279,
yi-34b,item_142,5,329,
yi-34b,item_143,3,284,
yi-34b,item_144,4,332,
yi-34b,item_145,4,277,4.0
yi-34b,item_146,4,281,
yi-34b,item_147,3,301,3.0
yi-34b,item_148,4,307,
yi-34b,item_149,4,299,
yi-34b,item_150,4,249,
yi-34b,item_151,5,306,
yi-34b,item_152,4,363,
yi-34b,item_153,4,329,
yi-34b,item_154,4,316,
yi-34b,item_155,5,351,
yi-34b,item_156,5,346,
yi-34b,item_157,4,256,
yi-34b,item_158,3,352,
yi-34b,item_159,4,292,
yi-34b,item_160,4,273,4.0
yi-34b,item_161,4,300,
yi-34b,item_162,5,298,
yi-34b,item_163,4,302,
yi-34b,item_164,4,305,
yi-34b,item_165,4,267,
yi-34b,item_166,4,253,3.0
yi-34b,item_167,4,338,3.0
yi-34b,item_168,5,344,
yi-34b,item_169,4,294,
yi-34b,item_170,4,347,
yi-34b,item_171,4,355,
yi-34b,item_172,5,283,4.0
yi-34b,item_173,3,295,
yi-34b,item_174,4,262,4.0
yi-34b,item_175,5,299,
yi-34b,item_176,5,310,4.0
yi-34b,item_177,3,293,2.0
yi-34b,item_178,5,283,
yi-34b,item_179,4,303,
yi-34b,item_180,5,273,
yi-34b,item_181,5,290,
yi-34b,item_182,4,274,
yi-34b,item_183,4,287,
yi-34b,item_184,4,298,
yi-34b,item_185,4,315,
yi-34b,item_186,5,307,
yi-34b,item_187,4,321,
yi-34b,item_188,5,314,
yi-34b,item_189,3,282,
yi-34b,item_190,4,371,
yi-34b,item_191,4,346,
yi-34b,item_192,5,283,
yi-34b,item_193,4,306,
yi-34b,item_194,4,280,2.0
yi-34b,item_195,5,267,
yi-34b,item_196,4,252,
yi-34b,item_197,4,283,
yi-34b,item_198,4,268,
yi-34b,item_199,3,306,3.0
yi-34b,item_200,5,259,
qwen2.5-72b,item_1,2,170,
qwen2.5-72b,item_2,3,175,
qwen2.5-72b,item_3,3,155,
qwen2.5-72b,item_4,4,139,3.0
qwen2.5-72b,item_5,3,147,
qwen2.5-72b,item_6,3,119,
qwen2.5-72b,item_7,3,185,
qwen2.5-72b,item_8,3,114,
qwen2.5-72b,item_9,3,160,
qwen2.5-72b,item_10,3,129,
qwen2.5-72b,item_11,4,130,
qwen2.5-72b,item_12,4,139,
qwen2.5-72b,item_13,3,145,
qwen2.5-72b,item_14,3,129,
qwen2.5-72b,item_15,4,157,
qwen2.5-72b,item_16,3,152,
qwen2.5-72b,item_17,4,140,4.0
qwen2.5-72b,item_18,3,190,
qwen2.5-72b,item_19,4,162,3.0
qwen2.5-72b,item_20,4,151,4.0
qwen2.5-72b,item_21,3,138,
qwen2.5-72b,item_22,3,113,
qwen2.5-72b,item_23,3,151,
qwen2.5-72b,item_24,4,165,
qwen2.5-72b,item_25,3,180,3.0
qwen2.5-72b,item_26,3,113,
qwen2.5-72b,item_27,4,108,
qwen2.5-72b,item_28,4,132,
qwen2.5-72b,item_29,3,143,
qwen2.5-72b,item_30,3,150,
qwen2.5-72b,item_31,3,125,
qwen2.5-72b,item_32,2,113,
qwen2.5-72b,item_33,3,126,
qwen2.5-72b,item_34,3,140,
qwen2.5-72b,item_35,3,179,3.0
qwen2.5-72b,item_36,4,191,
qwen2.5-72b,item_37,3,150,
qwen2.5-72b,item_38,3,127,
qwen2.5-72b,item_39,3,157,
qwen2.5-72b,item_40,4,152,
qwen2.5-72b,item_41,2,161,
qwen2.5-72b,item_42,3,136,3.0
qwen2.5-72b,item_43,4,104,5.0
qwen2.5-72b,item_44,4,147,5.0
qwen2.5-72b,item_45,3,109,
qwen2.5-72b,item_46,4,128,4.0
qwen2.5-72b,item_47,5,169,
qwen2.5-72b,item_48,5,124,4.0
qwen2.5-72b,item_49,4,153,
qwen2.5-72b,item_50,3,159,
qwen2.5-72b,item_51,4,157,3.0
qwen2.5-72b,item_52,3,122,
qwen2.5-72b,item_53,3,185,
qwen2.5-72b,item_54,4,127,4.0
qwen2.5-72b,item_55,4,141,
qwen2.5-72b,item_56,3,156,
qwen2.5-72b,item_57,4,180,4.0
qwen2.5-72b,item_58,1,120,
qwen2.5-72b,item_59,3,97,
qwen2.5-72b,item_60,3,160,
qwen2.5-72b,item_61,4,176,
qwen2.5-72b,item_62,4,158,
qwen2.5-72b,item_63,3,120,
qwen2.5-72b,item_64,3,143,
qwen2.5-72b,item_65,3,136,3.0
qwen2.5-72b,item_66,4,171,
qwen2.5-72b,item_67,3,154,
qwen2.5-72b,item_68,4,103,
qwen2.5-72b,item_69,3,152,
qwen2.5-72b,item_70,2,141,
qwen2.5-72b,item_71,4,219,
qwen2.5-72b,item_72,3,125,
qwen2.5-72b,item_73,2,91,
qwen2.5-72b,item_74,3,119,
qwen2.5-72b,item_75,4,150,4.0
qwen2.5-72b,item_76,3,124,
qwen2.5-72b,item_77,2,143,
qwen2.5-72b,item_78,3,118,
qwen2.5-72b,item_79,2,136,3.0
qwen2.5-72b,item_80,3,148,
qwen2.5-72b,item_81,3,160,
qwen2.5-72b,item_82,4,150,
qwen2.5-72b,item_83,3,161,3.0
qwen2.5-72b,item_84,3,166,
qwen2.5-72b,item_85,4,138,
qwen2.5-72b,item_86,2,126,
qwen2.5-72b,item_87,3,179,
qwen2.5-72b,item_88,4,198,
qwen2.5-72b,item_89,4,192,
qwen2.5-72b,item_90,5,110,
qwen2.5-72b,item_91,4,175,
qwen2.5-72b,item_92,4,145,
qwen2.5-72b,item_93,3,151,
qwen2.5-72b,item_94,3,168,
qwen2.5-72b,item_95,4,104,4.0
qwen2.5-72b,item_96,3,160,
qwen2.5-72b,item_97,2,135,
qwen2.5-72b,item_98,5,167,4.0
qwen2.5-72b,item_99,4,152,
qwen2.5-72b,item_100,3,183,
qwen2.5-72b,item_101,3,157,3.0
qwen2.5-72b,item_102,3,161,
qwen2.5-72b,item_103,3,161,4.0
qwen2.5-72b,item_104,4,172,
qwen2.5-72b,item_105,3,157,3.0
qwen2.5-72b,item_106,2,148,3.0
qwen2.5-72b,item_107,3,121,
qwen2.5-72b,item_108,4,152,
qwen2.5-72b,item_109,2,146,
qwen2.5-72b,item_110,3,138,
qwen2.5-72b,item_111,3,107,
qwen2.5-72b,item_112,3,93,
qwen2.5-72b,item_113,3,130,
qwen2.5-72b,item_114,4,170,4.0
qwen2.5-72b,item_115,4,143,
qwen2.5-72b,item_116,4,125,
qwen2.5-72b,item_117,4,146,
qwen2.5-72b,item_118,3,133,3.0
qwen2.5-72b,item_119,3,173,2.0
qwen2.5-72b,item_120,3,115,
qwen2.5-72b,item_121,3,151,
qwen2.5-72b,item_122,4,161,
qwen2.5-72b,item_123,4,133,
qwen2.5-72b,item_124,4,115,
qwen2.5-72b,item_125,4,130,
qwen2.5-72b,item_126,3,93,
qwen2.5-72b,item_127,3,143,
qwen2.5-72b,item_128,3,97,
qwen2.5-72b,item_129,4,147,
qwen2.5-72b,item_130,3,132,3.0
qwen2.5-72b,item_131,4,130,
qwen2.5-72b,item_132,4,134,
qwen2.5-72b,item_133,3,129,
qwen2.5-72b,item_134,4,125,
qwen2.5-72b,item_135,4,179,
qwen2.5-72b,item_136,4,154,
qwen2.5-72b,item_137,3,154,
qwen2.5-72b,item_138,3,118,
qwen2.5-72b,item_139,2,162,
qwen2.5-72b,item_140,4,175,4.0
qwen2.5-72b,item_141,3,118,
qwen2.5-72b,item_142,3,121,
qwen2.5-72b,item_143,4,162,
qwen2.5-72b,item_144,4,106,
qwen2.5-72b,item_145,4,110,3.0
qwen2.5-72b,item_146,4,112,
qwen2.5-72b,item_147,3,198,3.0
qwen2.5-72b,item_148,3,117,
qwen2.5-72b,item_149,3,108,
qwen2.5-72b,item_150,3,148,
qwen2.5-72b,item_151,4,120,
qwen2.5-72b,item_152,3,148,
qwen2.5-72b,item_153,3,115,
qwen2.5-72b,item_154,4,154,
qwen2.5-72b,item_155,3,122,
qwen2.5-72b,item_156,5,125,
qwen2.5-72b,item_157,4,108,
qwen2.5-72b,item_158,2,171,
qwen2.5-72b,item_159,2,130,
qwen2.5-72b,item_160,3,167,4.0
qwen2.5-72b,item_161,3,174,
qwen2.5-72b,item_162,3,145,
qwen2.5-72b,item_163,3,164,
qwen2.5-72b,item_164,3,136,
qwen2.5-72b,item_165,3,181,
qwen2.5-72b,item_166,3,120,3.0
qwen2.5-72b,item_167,4,144,4.0
qwen2.5-72b,item_168,4,149,
qwen2.5-72b,item_169,4,160,
qwen2.5-72b,item_170,3,129,
qwen2.5-72b,item_171,3,121,
qwen2.5-72b,item_172,5,132,4.0
qwen2.5-72b,item_173,4,164,
qwen2.5-72b,item_174,3,159,3.0
qwen2.5-72b,item_175,3,120,
qwen2.5-72b,item_176,4,176,4.0
qwen2.5-72b,item_177,4,173,3.0
qwen2.5-72b,item_178,4,168,
qwen2.5-72b,item_179,3,136,
qwen2.5-72b,item_180,4,140,
qwen2.5-72b,item_181,3,189,
qwen2.5-72b,item_182,4,144,
qwen2.5-72b,item_183,2,128,
qwen2.5-72b,item_184,4,155,
qwen2.5-72b,item_185,3,137,
qwen2.5-72b,item_186,3,120,
qwen2.5-72b,item_187,3,123,
qwen2.5-72b,item_188,4,154,
qwen2.5-72b,item_189,4,167,
qwen2.5-72b,item_190,3,146,
qwen2.5-72b,item_191,4,215,
qwen2.5-72b,item_192,4,174,
qwen2.5-72b,item_193,3,156,
qwen2.5-72b,item_194,3,165,4.0
qwen2.5-72b,item_195,5,155,
qwen2.5-72b,item_196,3,105,
qwen2.5-72b,item_197,4,110,
qwen2.5-72b,item_198,3,145,
qwen2.5-72b,item_199,4,139,4.0
qwen2.5-72b,item_200,3,196,
claude-3-opus,item_1,4,132,
claude-3-opus,item_2,4,158,
claude-3-opus,item_3,3,124,
claude-3-opus,item_4,4,176,4.0
claude-3-opus,item_5,3,148,
claude-3-opus,item_6,4,155,
claude-3-opus,item_7,4,156,
claude-3-opus,item_8,5,159,
claude-3-opus,item_9,4,150,
claude-3-opus,item_10,3,150,
claude-3-opus,item_11,4,155,
claude-3-opus,item_12,4,144,
claude-3-opus,item_13,3,168,
claude-3-opus,item_14,4,107,
claude-3-opus,item_15,4,173,
claude-3-opus,item_16,4,184,
claude-3-opus,item_17,5,142,4.0
claude-3-opus,item_18,4,161,
claude-3-opus,item_19,3,151,3.0
claude-3-opus,item_20,3,139,3.0
claude-3-opus,item_21,4,107,
claude-3-opus,item_22,4,142,
claude-3-opus,item_23,4,146,
claude-3-opus,item_24,4,141,
claude-3-opus,item_25,3,169,2.0
claude-3-opus,item_26,3,137,
claude-3-opus,item_27,4,191,
claude-3-opus,item_28,4,144,
claude-3-opus,item_29,4,133,
claude-3-opus,item_30,3,117,
claude-3-opus,item_31,4,162,
claude-3-opus,item_32,4,162,
claude-3-opus,item_33,4,152,
claude-3-opus,item_34,4,114,
claude-3-opus,item_35,4,158,4.0
claude-3-opus,item_36,5,154,
claude-3-opus,item_37,3,161,
claude-3-opus,item_38,4,179,
claude-3-opus,item_39,4,127,
claude-3-opus,item_40,3,127,
claude-3-opus,item_41,4,168,
claude-3-opus,item_42,4,113,4.0
claude-3-opus,item_43,4,189,3.0
claude-3-opus,item_44,4,100,4.0
claude-3-opus,item_45,3,186,
claude-3-opus,item_46,4,108,4.0
claude-3-opus,item_47,4,164,
claude-3-opus,item_48,3,130,3.0
claude-3-opus,item_49,4,139,
claude-3-opus,item_50,4,172,
claude-3-opus,item_51,3,123,4.0
claude-3-opus,item_52,3,152,
claude-3-opus,item_53,4,164,
claude-3-opus,item_54,5,106,5.0
claude-3-opus,item_55,4,141,
claude-3-opus,item_56,4,168,
claude-3-opus,item_57,3,157,3.0
claude-3-opus,item_58,2,170,
claude-3-opus,item_59,4,126,
claude-3-opus,item_60,3,165,
claude-3-opus,item_61,4,164,
claude-3-opus,item_62,4,158,
claude-3-opus,item_63,4,139,
claude-3-opus,item_64,3,153,
claude-3-opus,item_65,4,173,4.0
claude-3-opus,item_66,4,149,
claude-3-opus,item_67,4,141,
claude-3-opus,item_68,4,139,
claude-3-opus,item_69,3,151,
claude-3-opus,item_70,3,110,
claude-3-opus,item_71,3,131,
claude-3-opus,item_72,2,158,
claude-3-opus,item_73,4,145,
claude-3-opus,item_74,3,153,
claude-3-opus,item_75,4,127,4.0
claude-3-opus,item_76,4,137,
claude-3-opus,item_77,4,165,
claude-3-opus,item_78,3,134,
claude-3-opus,item_79,5,116,4.0
claude-3-opus,item_80,4,164,
claude-3-opus,item_81,3,114,
claude-3-opus,item_82,4,132,
claude-3-opus,item_83,3,171,4.0
claude-3-opus,item_84,3,143,
claude-3-opus,item_85,4,140,
claude-3-opus,item_86,4,189,
claude-3-opus,item_87,3,190,
claude-3-opus,item_88,5,142,
claude-3-opus,item_89,3,160,
claude-3-opus,item_90,4,152,
claude-3-opus,item_91,3,155,
claude-3-opus,item_92,3,151,
claude-3-opus,item_93,4,111,
claude-3-opus,item_94,4,151,
claude-3-opus,item_95,3,185,3.0
claude-3-opus,item_96,3,164,
claude-3-opus,item_97,3,144,
claude-3-opus,item_98,5,106,4.0
claude-3-opus,item_99,4,108,
claude-3-opus,item_100,5,179,
claude-3-opus,item_101,4,128,4.0
claude-3-opus,item_102,2,87,
claude-3-opus,item_103,4,154,4.0
claude-3-opus,item_104,5,173,
claude-3-opus,item_105,3,164,3.0
claude-3-opus,item_106,4,128,5.0
claude-3-opus,item_107,5,161,
claude-3-opus,item_108,4,196,
claude-3-opus,item_109,4,177,
claude-3-opus,item_110,4,152,
claude-3-opus,item_111,3,151,
claude-3-opus,item_112,3,118,
claude-3-opus,item_113,4,151,
claude-3-opus,item_114,5,195,4.0
claude-3-opus,item_115,3,143,
claude-3-opus,item_116,2,166,
claude-3-opus,item_117,3,144,
claude-3-opus,item_118,4,182,3.0
claude-3-opus,item_119,3,198,3.0
claude-3-opus,item_120,4,168,
claude-3-opus,item_121,4,142,
claude-3-opus,item_122,4,174,
claude-3-opus,item_123,5,153,
claude-3-opus,item_124,3,116,
claude-3-opus,item_125,3,152,
claude-3-opus,item_126,5,173,
claude-3-opus,item_127,4,119,
claude-3-opus,item_128,4,194,
claude-3-opus,item_129,5,184,
claude-3-opus,item_130,5,174,4.0
claude-3-opus,item_131,4,177,
claude-3-opus,item_132,3,164,
claude-3-opus,item_133,4,122,
claude-3-opus,item_134,4,155,
claude-3-opus,item_135,3,150,
claude-3-opus,item_136,4,130,
claude-3-opus,item_137,3,136,
claude-3-opus,item_138,4,127,
claude-3-opus,item_139,3,120,
claude-3-opus,item_140,5,175,5.0
claude-3-opus,item_141,4,158,
claude-3-opus,item_142,5,167,
claude-3-opus,item_143,3,172,
claude-3-opus,item_144,3,132,
claude-3-opus,item_145,3,161,4.0
claude-3-opus,item_146,4,155,
claude-3-opus,item_147,4,108,4.0
claude-3-opus,item_148,4,124,
claude-3-opus,item_149,3,110,
claude-3-opus,item_150,4,138,
claude-3-opus,item_151,4,142,
claude-3-opus,item_152,4,115,
claude-3-opus,item_153,3,82,
claude-3-opus,item_154,3,122,
claude-3-opus,item_155,3,146,
claude-3-opus,item_156,5,159,
claude-3-opus,item_157,2,145,
claude-3-opus,item_158,3,135,
claude-3-opus,item_159,2,106,
claude-3-opus,item_160,5,156,5.0
claude-3-opus,item_161,3,134,
claude-3-opus,item_162,4,154,
claude-3-opus,item_163,4,87,
claude-3-opus,item_164,3,118,
claude-3-opus,item_165,4,164,
claude-3-opus,item_166,4,167,4.0
claude-3-opus,item_167,4,126,3.0
claude-3-opus,item_168,4,183,
claude-3-opus,item_169,4,161,
claude-3-opus,item_170,4,198,
claude-3-opus,item_171,3,189,
claude-3-opus,item_172,4,190,4.0
claude-3-opus,item_173,4,117,
claude-3-opus,item_174,3,112,4.0
claude-3-opus,item_175,4,162,
claude-3-opus,item_176,4,132,4.0
claude-3-opus,item_177,2,159,3.0
claude-3-opus,item_178,4,166,
claude-3-opus,item_179,3,162,
claude-3-opus,item_180,4,121,
claude-3-opus,item_181,4,180,
claude-3-opus,item_182,4,150,
claude-3-opus,item_183,4,172,
claude-3-opus,item_184,4,144,
claude-3-opus,item_185,3,166,
claude-3-opus,item_186,4,116,
claude-3-opus,item_187,3,130,
claude-3-opus,item_188,4,174,
claude-3-opus,item_189,4,104,
claude-3-opus,item_190,3,144,
claude-3-opus,item_191,3,136,
claude-3-opus,item_192,5,158,
claude-3-opus,item_193,4,121,
claude-3-opus,item_194,4,115,4.0
claude-3-opus,item_195,4,181,
claude-3-opus,item_196,3,112,
claude-3-opus,item_197,5,171,
claude-3-opus,item_198,3,142,
claude-3-opus,item_199,4,141,4.0
claude-3-opus,item_200,3,152,
gemini-1.5-pro,item_1,4,294,
gemini-1.5-pro,item_2,5,273,
gemini-1.5-pro,item_3,4,284,
gemini-1.5-pro,item_4,3,346,3.0
gemini-1.5-pro,item_5,3,282,
gemini-1.5-pro,item_6,4,300,
gemini-1.5-pro,item_7,3,286,
gemini-1.5-pro,item_8,5,296,
gemini-1.5-pro,item_9,4,269,
gemini-1.5-pro,item_10,4,295,
gemini-1.5-pro,item_11,5,296,
gemini-1.5-pro,item_12,5,326,
gemini-1.5-pro,item_13,4,320,
gemini-1.5-pro,item_14,4,334,
gemini-1.5-pro,item_15,4,334,
gemini-1.5-pro,item_16,4,295,
gemini-1.5-pro,item_17,4,342,4.0
gemini-1.5-pro,item_18,5,294,
gemini-1.5-pro,item_19,5,294,4.0
gemini-1.5-pro,item_20,4,313,4.0
gemini-1.5-pro,item_21,5,329,
gemini-1.5-pro,item_22,4,316,
gemini-1.5-pro,item_23,4,309,
gemini-1.5-pro,item_24,4,293,
gemini-1.5-pro,item_25,3,310,3.0
gemini-1.5-pro,item_26,4,294,
gemini-1.5-pro,item_27,4,293,
gemini-1.5-pro,item_28,5,296,
gemini-1.5-pro,item_29,4,287,
gemini-1.5-pro,item_30,4,338,
gemini-1.5-pro,item_31,5,312,
gemini-1.5-pro,item_32,5,316,
gemini-1.5-pro,item_33,4,284,
gemini-1.5-pro,item_34,3,316,
gemini-1.5-pro,item_35,3,266,3.0
gemini-1.5-pro,item_36,4,281,
gemini-1.5-pro,item_37,3,303,
gemini-1.5-pro,item_38,4,293,
gemini-1.5-pro,item_39,4,268,
gemini-1.5-pro,item_40,5,330,
gemini-1.5-pro,item_41,4,327,
gemini-1.5-pro,item_42,5,319,4.0
gemini-1.5-pro,item_43,4,337,4.0
gemini-1.5-pro,item_44,5,261,5.0
gemini-1.5-pro,item_45,3,308,
gemini-1.5-pro,item_46,5,303,4.0
gemini-1.5-pro,item_47,5,360,
gemini-1.5-pro,item_48,4,297,3.0
gemini-1.5-pro,item_49,5,324,
gemini-1.5-pro,item_50,3,298,
gemini-1.5-pro,item_51,3,277,2.0
gemini-1.5-pro,item_52,5,274,
gemini-1.5-pro,item_53,4,299,
gemini-1.5-pro,item_54,4,335,4.0
gemini-1.5-pro,item_55,4,303,
gemini-1.5-pro,item_56,5,326,
gemini-1.5-pro,item_57,5,278,4.0
gemini-1.5-pro,item_58,4,310,
gemini-1.5-pro,item_59,5,318,
gemini-1.5-pro,item_60,4,341,
gemini-1.5-pro,item_61,4,312,
gemini-1.5-pro,item_62,4,305,
gemini-1.5-pro,item_63,4,285,
gemini-1.5-pro,item_64,5,271,
gemini-1.5-pro,item_65,4,269,4.0
gemini-1.5-pro,item_66,4,286,
gemini-1.5-pro,item_67,4,254,
gemini-1.5-pro,item_68,4,299,
gemini-1.5-pro,item_69,4,317,
gemini-1.5-pro,item_70,4,380,
gemini-1.5-pro,item_71,4,284,
gemini-1.5-pro,item_72,3,312,
gemini-1.5-pro,item_73,4,317,
gemini-1.5-pro,item_74,4,305,
gemini-1.5-pro,item_75,4,302,3.0
gemini-1.5-pro,item_76,3,331,
gemini-1.5-pro,item_77,5,326,
gemini-1.5-pro,item_78,4,267,
gemini-1.5-pro,item_79,5,343,4.0
gemini-1.5-pro,item_80,4,253,
gemini-1.5-pro,item_81,4,289,
gemini-1.5-pro,item_82,5,289,
gemini-1.5-pro,item_83,5,273,4.0
gemini-1.5-pro,item_84,3,255,
gemini-1.5-pro,item_85,5,304,
gemini-1.5-pro,item_86,3,274,
gemini-1.5-pro,item_87,5,293,
gemini-1.5-pro,item_88,4,264,
gemini-1.5-pro,item_89,3,273,
gemini-1.5-pro,item_90,5,261,
gemini-1.5-pro,item_91,5,293,
gemini-1.5-pro,item_92,4,320,
gemini-1.5-pro,item_93,4,331,
gemini-1.5-pro,item_94,5,294,
gemini-1.5-pro,item_95,4,269,3.0
gemini-1.5-pro,item_96,4,335,
gemini-1.5-pro,item_97,4,305,
gemini-1.5-pro,item_98,4,305,4.0
gemini-1.5-pro,item_99,4,310,
gemini-1.5-pro,item_100,5,295,
gemini-1.5-pro,item_101,4,301,3.0
gemini-1.5-pro,item_102,5,290,
gemini-1.5-pro,item_103,5,299,4.0
gemini-1.5-pro,item_104,5,283,
gemini-1.5-pro,item_105,5,294,4.0
gemini-1.5-pro,item_106,4,312,3.0
gemini-1.5-pro,item_107,4,267,
gemini-1.5-pro,item_108,5,279,
gemini-1.5-pro,item_109,4,321,
gemini-1.5-pro,item_110,3,279,
